Pablo1003;Fri Nov 22 20:00:01 2019 +0100;Merge branch 'master' of https://github.com/palmenros/logrolling
Pablo1003;Fri Nov 22 19:59:56 2019 +0100;.
Pablo1003;Fri Nov 22 19:59:41 2019 +0100;.
Jaime Martínez;Thu Nov 21 23:48:02 2019 +0100;Mecanismos de gestión y control
Santimr19;Thu Nov 21 23:09:18 2019 +0100;Casos de Uso V2
Jaime Martínez;Thu Nov 21 00:01:00 2019 +0100;Mecanismos de gestión y control
Santimr19;Tue Nov 19 22:29:14 2019 +0100;Estimacion
Pablo1003;Tue Nov 19 20:04:15 2019 +0100;Gestión de riesgos con formato v.2
Santimr19;Tue Nov 19 20:01:44 2019 +0100;Estimacion
Santimr19;Tue Nov 19 19:59:21 2019 +0100;Merge branch 'master' of https://github.com/palmenros/logrolling
Santimr19;Tue Nov 19 19:58:16 2019 +0100;Estimación
Pablo1003;Tue Nov 19 19:54:27 2019 +0100;Casos de uso v1
Jaime Martínez;Tue Nov 19 10:10:53 2019 +0100;Merge branch 'master' of https://github.com/palmenros/logrolling
Jaime Martínez;Tue Nov 19 10:10:08 2019 +0100;Create Mecanismos de gestión y control.docx
AlbertoEnGithub;Tue Nov 19 02:11:57 2019 +0100;Delete Planificación temporal 1.0.docx
AlbertoEnGithub;Tue Nov 19 02:08:17 2019 +0100;Update EDT con formato.docx
adrisanjuan;Tue Nov 19 00:35:52 2019 +0100;Reunión y versión 1 intro
Pedro Palacios;Mon Nov 18 22:44:48 2019 +0100;Añadidas negritas recursos del proyecto
Pedro Palacios;Mon Nov 18 22:41:04 2019 +0100;Merge branch 'master' of https://github.com/palmenros/logrolling
Pedro Palacios;Mon Nov 18 22:39:37 2019 +0100;Actualizado recursos del proyecto y subido con formato.
Santimr19;Mon Nov 18 21:54:59 2019 +0100;Update Estimación.docx
rubgom03;Mon Nov 18 21:18:59 2019 +0100;Add files via upload
Santimr19;Mon Nov 18 20:21:27 2019 +0100;Cambio en Estimación
Pablo1003;Sun Nov 17 18:25:38 2019 +0100;Gestion de riesgos con formato 2.0
JuanCarlosLlamas;Sun Nov 17 17:57:21 2019 +0100;Diagrama gantt
JuanCarlosLlamas;Sun Nov 17 16:18:05 2019 +0100;EDT completa con formato
JuanCarlosLlamas;Sun Nov 17 15:44:37 2019 +0100;Gestión de riesgos con formato de tablas
Pablo1003;Sat Nov 16 12:42:30 2019 +0100;Plan de proyecto con formato
AlbertoEnGithub;Sat Nov 16 12:25:02 2019 +0100;Create Planificación temporal 1.0.docx
Santimr19;Wed Nov 13 09:34:08 2019 +0100;Cambio de carpeta
Santimr19;Wed Nov 13 09:31:50 2019 +0100;Estimacion Definitivo (Sin revisar)
Santimr19;Tue Nov 12 21:38:17 2019 +0100;Estimaciones
Santimr19;Tue Nov 12 21:37:02 2019 +0100;Plantilla
JuanCarlosLlamas;Fri Nov 8 20:03:11 2019 +0100;Gestion de Riesgos
Pablo1003;Thu Nov 7 17:44:34 2019 +0100;Una parte de la gestion de riesgos
Pedro Palacios;Mon Nov 4 19:31:38 2019 +0100;Añadida la primera versión de recursos del proyecto
Pablo1003;Thu Oct 24 18:32:03 2019 +0200;Add files via upload
JuanCarlosLlamas;Fri Oct 11 19:19:04 2019 +0200;Add files via upload
